,game_id,date,year,week,home_team,away_team,home_score,away_score,winner,score_diff,1st Downs_diff,3rd Down Attempts_diff,3rd Down Conversions_diff,4th Down conversions_diff,Fumbles Lost_diff,Passing Completions_diff,Passing Yards_diff,Penalties_diff,Penalty Yards_diff,Rushing Attempts_diff,Rushing Yards_diff,Time of Possession_diff,4th Down Attempts_diff,Interceptions Thrown_diff,Passing Attempts_diff
30,53,09/04/2005,2005,1, Kentucky, Louisville,24,31, Louisville,-7,-6,-5,-4,-1,3.0,-2.0,99.0,-2.0,-1.0,-19.0,-162.0,-640.0,-1.0,0.0,0.0
31,57,09/05/2005,2005,1, Memphis, Mississippi,6,10, Mississippi,-4,4,0,1,1,1.0,1.0,-58.0,-1.0,1.0,2.0,64.0,-70.0,1.0,0.0,-2.0
32,58,09/05/2005,2005,1, New Mexico, UNLV,24,22, New Mexico,2,-1,-1,-2,-1,0.0,1.0,33.0,-3.0,-20.0,10.0,-21.0,186.0,-1.0,-1.0,-2.0
33,65,09/10/2005,2005,1, Oregon State, Boise State,30,27, Oregon State,3,-1,-4,-3,1,0.0,8.0,46.0,1.0,24.0,-14.0,-66.0,-112.0,0.0,0.0,2.0
34,66,09/10/2005,2005,1, Ball State, Bowling Green,31,40, Bowling Green,-9,-1,0,-4,0,-3.0,-2.0,-121.0,3.0,49.0,-4.0,32.0,274.0,0.0,1.0,-9.0
35,67,09/10/2005,2005,1, Syracuse, Buffalo,31,0, Syracuse,31,10,-1,2,2,0.0,1.0,66.0,-2.0,4.0,26.0,298.0,142.0,3.0,-2.0,-5.0
36,68,09/10/2005,2005,1, Washington, California,17,56, California,-39,-8,3,-3,0,0.0,5.0,30.0,2.0,9.0,-12.0,-218.0,34.0,2.0,0.0,12.0
37,71,09/10/2005,2005,1, Florida State, Citadel,62,10, Florida State,52,2,-4,6,0,0.0,15.0,420.0,-1.0,33.0,0.0,118.0,-148.0,-1.0,1.0,18.0
38,75,09/10/2005,2005,1, South Florida, Florida A&M,37,3, South Florida,34,16,1,6,1,1.0,-1.0,59.0,7.0,45.0,30.0,346.0,708.0,0.0,-1.0,-2.0
39,76,09/10/2005,2005,1, Texas Tech, Florida International,56,3, Texas Tech,53,5,-11,-4,0,-2.0,10.0,304.0,6.0,52.0,-15.0,0.0,-764.0,-2.0,0.0,3.0
40,78,09/10/2005,2005,1, Kentucky, Idaho State,41,29, Kentucky,12,0,-6,-4,0,0.0,-10.0,-124.0,-4.0,-11.0,-2.0,-14.0,-380.0,0.0,-4.0,-18.0
41,82,09/10/2005,2005,1, Connecticut, Liberty,59,0, Connecticut,59,19,2,7,0,-3.0,8.0,92.0,-2.0,-11.0,34.0,347.0,864.0,0.0,-1.0,11.0
42,84,09/10/2005,2005,1, Florida, Louisiana Tech,41,3, Florida,38,9,-1,0,3,0.0,3.0,107.0,2.0,34.0,23.0,206.0,398.0,3.0,-3.0,-8.0
43,86,09/10/2005,2005,1, Oregon, Montana,47,14, Oregon,33,1,7,9,-1,1.0,11.0,226.0,-3.0,-31.0,8.0,56.0,-76.0,0.0,-2.0,17.0
44,87,09/10/2005,2005,1, Georgia Tech, North Carolina,27,21, Georgia Tech,6,0,4,3,0,0.0,7.0,73.0,1.0,8.0,7.0,61.0,360.0,0.0,-3.0,9.0
45,90,09/10/2005,2005,1, Indiana, Nicholls State,35,31, Indiana,4,-6,-3,0,-2,-2.0,15.0,256.0,2.0,29.0,-30.0,-294.0,-718.0,-2.0,2.0,25.0
46,91,09/10/2005,2005,1, Middle Tennessee, North Texas,7,14, North Texas,-7,5,0,1,2,2.0,11.0,73.0,0.0,18.0,4.0,36.0,306.0,1.0,3.0,11.0
47,93,09/10/2005,2005,1, Arizona, Northern Arizona,31,12, Arizona,19,6,-2,3,-2,0.0,4.0,122.0,0.0,13.0,8.0,46.0,380.0,-2.0,1.0,-2.0
48,94,09/10/2005,2005,1, Northwestern, Northern Illinois,38,37, Northwestern,1,2,-2,2,-3,0.0,-3.0,-63.0,-1.0,-28.0,6.0,26.0,-256.0,-2.0,-1.0,-5.0
49,95,09/10/2005,2005,1, Michigan, Notre Dame,10,17, Notre Dame,-7,-3,3,1,2,0.0,0.0,83.0,0.0,7.0,-15.0,10.0,-112.0,4.0,1.0,14.0
50,96,09/10/2005,2005,1, UCLA, Rice,63,21, UCLA,42,0,-4,3,-3,-2.0,11.0,262.0,7.0,62.0,-10.0,61.0,-54.0,-3.0,0.0,10.0
51,99,09/10/2005,2005,1, Air Force, San Diego State,41,29, Air Force,12,6,0,0,0,-1.0,-17.0,-22.0,1.0,10.0,34.0,108.0,452.0,1.0,-1.0,-32.0
52,100,09/10/2005,2005,1, Illinois, San Jose State,40,19, Illinois,21,12,0,3,0,0.0,1.0,33.0,3.0,0.0,28.0,228.0,490.0,-1.0,0.0,-1.0
53,101,09/10/2005,2005,1, Georgia, South Carolina,17,15, Georgia,2,10,-2,-1,0,0.0,-14.0,-124.0,2.0,47.0,26.0,195.0,362.0,0.0,0.0,-17.0
54,103,09/10/2005,2005,1, Alabama, Southern Mississippi,30,21, Alabama,9,6,4,3,2,1.0,6.0,140.0,-1.0,-14.0,20.0,131.0,756.0,2.0,0.0,7.0
55,104,09/10/2005,2005,1, Eastern Michigan, Louisiana-Lafayette,31,10, Eastern Michigan,21,-2,6,5,0,-3.0,6.0,40.0,0.0,26.0,4.0,-26.0,420.0,-1.0,0.0,10.0
56,106,09/10/2005,2005,1, Wisconsin, Temple,65,0, Wisconsin,65,12,2,9,1,1.0,9.0,173.0,0.0,10.0,27.0,274.0,868.0,2.0,-1.0,-1.0
57,107,09/10/2005,2005,1, Arkansas State, Tennessee-Martin,56,7, Arkansas State,49,-2,-8,-1,0,0.0,-1.0,42.0,1.0,5.0,-17.0,151.0,-1002.0,-2.0,0.0,-4.0
58,108,09/10/2005,2005,1, SMU, TCU,21,10, SMU,11,2,4,3,-1,0.0,-5.0,-33.0,-2.0,-29.0,20.0,53.0,604.0,-3.0,-3.0,-15.0
59,109,09/10/2005,2005,1, Ohio State, Texas,22,25, Texas,-3,-3,3,1,0,0.0,-4.0,-126.0,4.0,48.0,-2.0,-1.0,-18.0,-1.0,-2.0,-3.0
60,110,09/10/2005,2005,1, Oklahoma, Tulsa,31,15, Oklahoma,16,5,-4,-3,1,-1.0,-19.0,-204.0,2.0,29.0,6.0,129.0,-562.0,0.0,1.0,-23.0
61,112,09/10/2005,2005,1, Utah, Utah State,31,7, Utah,24,2,-4,-1,0,1.0,6.0,173.0,0.0,10.0,11.0,79.0,90.0,-1.0,-1.0,-3.0
62,113,09/10/2005,2005,1, Arkansas, Vanderbilt,24,28, Vanderbilt,-4,8,-1,-1,0,0.0,-6.0,-74.0,7.0,79.0,10.0,64.0,-154.0,2.0,0.0,-15.0
63,116,09/10/2005,2005,1, Nebraska, Wake Forest,31,3, Nebraska,28,-7,0,2,0,-1.0,2.0,-3.0,5.0,38.0,-22.0,-10.0,-640.0,-1.0,-2.0,5.0
64,118,09/10/2005,2005,1, Toledo, Western Michigan,56,23, Toledo,33,13,3,8,0,0.0,9.0,143.0,4.0,43.0,13.0,170.0,346.0,0.0,1.0,4.0
65,121,09/16/2005,2005,1, UTEP, Houston,44,41, UTEP,3,-3,-4,-4,0,1.0,-6.0,48.0,-3.0,-12.0,-10.0,-9.0,-90.0,-1.0,-3.0,1.0
66,123,09/17/2005,2005,1, South Carolina, Alabama,14,37, Alabama,-23,-13,-5,-6,0,1.0,8.0,34.0,2.0,5.0,-33.0,-267.0,-854.0,1.0,1.0,17.0
67,124,09/17/2005,2005,1, Oklahoma State, Arkansas State,20,10, Oklahoma State,10,-6,-5,-5,0,1.0,-3.0,26.0,-4.0,-31.0,-16.0,-75.0,-614.0,-1.0,-1.0,-3.0
68,125,09/17/2005,2005,1, USC, Arkansas,70,17, USC,53,-1,-10,-4,2,0.0,11.0,316.0,-3.0,-25.0,-19.0,94.0,-498.0,3.0,-2.0,8.0
69,128,09/17/2005,2005,1, Oregon, Fresno State,37,34, Oregon,3,5,0,-2,2,0.0,-5.0,-86.0,-10.0,-95.0,9.0,48.0,-272.0,2.0,-1.0,-4.0
70,129,09/17/2005,2005,1, Stanford, UC Davis,17,20, UC Davis,-3,-4,-10,-9,-1,0.0,-15.0,-133.0,-4.0,-28.0,-16.0,-36.0,-686.0,-2.0,1.0,-23.0
71,130,09/17/2005,2005,1, South Florida, UCF,31,14, South Florida,17,17,3,6,-1,-1.0,-8.0,-108.0,-5.0,-29.0,46.0,281.0,1170.0,-2.0,0.0,-23.0
72,131,09/17/2005,2005,1, Penn State, Central Michigan,40,3, Penn State,37,7,-9,0,-1,2.0,-3.0,223.0,-5.0,-45.0,-8.0,124.0,-202.0,-3.0,1.0,-2.0
73,132,09/17/2005,2005,1, Georgia Tech, Connecticut,28,13, Georgia Tech,15,13,-1,0,1,1.0,4.0,75.0,1.0,4.0,21.0,36.0,536.0,3.0,-3.0,5.0
74,135,09/17/2005,2005,1, Michigan, Eastern Michigan,55,0, Michigan,55,13,2,8,0,0.0,5.0,114.0,3.0,10.0,32.0,217.0,760.0,-1.0,-1.0,-2.0
75,138,09/17/2005,2005,1, Washington State, Grambling,48,7, Washington State,41,7,-2,2,0,1.0,8.0,114.0,-4.0,-28.0,11.0,193.0,108.0,0.0,-1.0,4.0
76,139,09/17/2005,2005,1, Washington, Idaho,34,6, Washington,28,6,-7,-5,1,1.0,-10.0,-42.0,-6.0,-58.0,8.0,196.0,-562.0,0.0,-1.0,-12.0
77,140,09/17/2005,2005,1, California, Illinois,35,20, California,15,6,-9,-3,-1,0.0,-13.0,-107.0,2.0,27.0,-8.0,185.0,-570.0,-1.0,0.0,-19.0
78,141,09/17/2005,2005,1, UAB, Jacksonville State,35,28, UAB,7,3,-3,-2,0,-1.0,-5.0,-28.0,3.0,38.0,7.0,38.0,78.0,0.0,0.0,-5.0
79,142,09/17/2005,2005,1, Indiana, Kentucky,38,14, Indiana,24,11,6,6,3,-1.0,6.0,-5.0,4.0,50.0,35.0,228.0,1394.0,3.0,0.0,2.0
80,143,09/17/2005,2005,1, Kansas, Louisiana Tech,34,14, Kansas,20,-2,-1,1,-2,0.0,-7.0,-21.0,-1.0,-37.0,2.0,3.0,-128.0,-2.0,-3.0,-15.0
81,144,09/17/2005,2005,1, Southern Mississippi, McNeese State,48,20, Southern Mississippi,28,9,4,7,1,-1.0,7.0,77.0,4.0,29.0,21.0,123.0,648.0,1.0,1.0,7.0
82,145,09/17/2005,2005,1, Kent State, Miami (Ohio),10,27, Miami (Ohio),-17,-13,-1,-6,1,-2.0,9.0,87.0,-3.0,-21.0,-35.0,-145.0,-672.0,2.0,1.0,21.0
