,game_id,date,year,week,home_team,away_team,home_score,away_score,winner,score_diff,1st Downs_diff,3rd Down Attempts_diff,3rd Down Conversions_diff,4th Down conversions_diff,Fumbles Lost_diff,Passing Completions_diff,Passing Yards_diff,Penalties_diff,Penalty Yards_diff,Rushing Attempts_diff,Rushing Yards_diff,Time of Possession_diff,4th Down Attempts_diff,Interceptions Thrown_diff,Passing Attempts_diff
41,82,09/10/2005,2005,1,Connecticut,Liberty,59,0,1,59,19,2,7,0,-3,8,92,-2,-11,34,347,864,0,-1,11
42,84,09/10/2005,2005,1,Florida,Louisiana Tech,41,3,1,38,9,-1,0,3,0,3,107,2,34,23,206,398,3,-3,-8
43,86,09/10/2005,2005,1,Oregon,Montana,47,14,1,33,1,7,9,-1,1,11,226,-3,-31,8,56,-76,0,-2,17
44,87,09/10/2005,2005,1,Georgia Tech,North Carolina,27,21,1,6,0,4,3,0,0,7,73,1,8,7,61,360,0,-3,9
45,90,09/10/2005,2005,1,Indiana,Nicholls State,35,31,1,4,-6,-3,0,-2,-2,15,256,2,29,-30,-294,-718,-2,2,25
46,91,09/10/2005,2005,1,Middle Tennessee,North Texas,7,14,0,-7,5,0,1,2,2,11,73,0,18,4,36,306,1,3,11
47,93,09/10/2005,2005,1,Arizona,Northern Arizona,31,12,1,19,6,-2,3,-2,0,4,122,0,13,8,46,380,-2,1,-2
48,94,09/10/2005,2005,1,Northwestern,Northern Illinois,38,37,1,1,2,-2,2,-3,0,-3,-63,-1,-28,6,26,-256,-2,-1,-5
49,95,09/10/2005,2005,1,Michigan,Notre Dame,10,17,0,-7,-3,3,1,2,0,0,83,0,7,-15,10,-112,4,1,14
50,96,09/10/2005,2005,1,UCLA,Rice,63,21,1,42,0,-4,3,-3,-2,11,262,7,62,-10,61,-54,-3,0,10
51,99,09/10/2005,2005,1,Air Force,San Diego State,41,29,1,12,6,0,0,0,-1,-17,-22,1,10,34,108,452,1,-1,-32
52,100,09/10/2005,2005,1,Illinois,San Jose State,40,19,1,21,12,0,3,0,0,1,33,3,0,28,228,490,-1,0,-1
53,101,09/10/2005,2005,1,Georgia,South Carolina,17,15,1,2,10,-2,-1,0,0,-14,-124,2,47,26,195,362,0,0,-17
54,103,09/10/2005,2005,1,Alabama,Southern Mississippi,30,21,1,9,6,4,3,2,1,6,140,-1,-14,20,131,756,2,0,7
55,104,09/10/2005,2005,1,Eastern Michigan,Louisiana-Lafayette,31,10,1,21,-2,6,5,0,-3,6,40,0,26,4,-26,420,-1,0,10
56,106,09/10/2005,2005,1,Wisconsin,Temple,65,0,1,65,12,2,9,1,1,9,173,0,10,27,274,868,2,-1,-1
57,107,09/10/2005,2005,1,Arkansas State,Tennessee-Martin,56,7,1,49,-2,-8,-1,0,0,-1,42,1,5,-17,151,-1002,-2,0,-4
58,108,09/10/2005,2005,1,SMU,TCU,21,10,1,11,2,4,3,-1,0,-5,-33,-2,-29,20,53,604,-3,-3,-15
59,109,09/10/2005,2005,1,Ohio State,Texas,22,25,0,-3,-3,3,1,0,0,-4,-126,4,48,-2,-1,-18,-1,-2,-3
60,110,09/10/2005,2005,1,Oklahoma,Tulsa,31,15,1,16,5,-4,-3,1,-1,-19,-204,2,29,6,129,-562,0,1,-23
61,112,09/10/2005,2005,1,Utah,Utah State,31,7,1,24,2,-4,-1,0,1,6,173,0,10,11,79,90,-1,-1,-3
62,113,09/10/2005,2005,1,Arkansas,Vanderbilt,24,28,0,-4,8,-1,-1,0,0,-6,-74,7,79,10,64,-154,2,0,-15
63,116,09/10/2005,2005,1,Nebraska,Wake Forest,31,3,1,28,-7,0,2,0,-1,2,-3,5,38,-22,-10,-640,-1,-2,5
64,118,09/10/2005,2005,1,Toledo,Western Michigan,56,23,1,33,13,3,8,0,0,9,143,4,43,13,170,346,0,1,4
65,121,09/16/2005,2005,1,UTEP,Houston,44,41,1,3,-3,-4,-4,0,1,-6,48,-3,-12,-10,-9,-90,-1,-3,1
66,123,09/17/2005,2005,1,South Carolina,Alabama,14,37,0,-23,-13,-5,-6,0,1,8,34,2,5,-33,-267,-854,1,1,17
67,124,09/17/2005,2005,1,Oklahoma State,Arkansas State,20,10,1,10,-6,-5,-5,0,1,-3,26,-4,-31,-16,-75,-614,-1,-1,-3
68,125,09/17/2005,2005,1,USC,Arkansas,70,17,1,53,-1,-10,-4,2,0,11,316,-3,-25,-19,94,-498,3,-2,8
69,128,09/17/2005,2005,1,Oregon,Fresno State,37,34,1,3,5,0,-2,2,0,-5,-86,-10,-95,9,48,-272,2,-1,-4
70,129,09/17/2005,2005,1,Stanford,UC Davis,17,20,0,-3,-4,-10,-9,-1,0,-15,-133,-4,-28,-16,-36,-686,-2,1,-23
71,130,09/17/2005,2005,1,South Florida,UCF,31,14,1,17,17,3,6,-1,-1,-8,-108,-5,-29,46,281,1170,-2,0,-23
72,131,09/17/2005,2005,1,Penn State,Central Michigan,40,3,1,37,7,-9,0,-1,2,-3,223,-5,-45,-8,124,-202,-3,1,-2
73,132,09/17/2005,2005,1,Georgia Tech,Connecticut,28,13,1,15,13,-1,0,1,1,4,75,1,4,21,36,536,3,-3,5
74,135,09/17/2005,2005,1,Michigan,Eastern Michigan,55,0,1,55,13,2,8,0,0,5,114,3,10,32,217,760,-1,-1,-2
75,138,09/17/2005,2005,1,Washington State,Grambling,48,7,1,41,7,-2,2,0,1,8,114,-4,-28,11,193,108,0,-1,4
76,139,09/17/2005,2005,1,Washington,Idaho,34,6,1,28,6,-7,-5,1,1,-10,-42,-6,-58,8,196,-562,0,-1,-12
77,140,09/17/2005,2005,1,California,Illinois,35,20,1,15,6,-9,-3,-1,0,-13,-107,2,27,-8,185,-570,-1,0,-19
78,141,09/17/2005,2005,1,UAB,Jacksonville State,35,28,1,7,3,-3,-2,0,-1,-5,-28,3,38,7,38,78,0,0,-5
79,142,09/17/2005,2005,1,Indiana,Kentucky,38,14,1,24,11,6,6,3,-1,6,-5,4,50,35,228,1394,3,0,2
80,143,09/17/2005,2005,1,Kansas,Louisiana Tech,34,14,1,20,-2,-1,1,-2,0,-7,-21,-1,-37,2,3,-128,-2,-3,-15
81,144,09/17/2005,2005,1,Southern Mississippi,McNeese State,48,20,1,28,9,4,7,1,-1,7,77,4,29,21,123,648,1,1,7
82,145,09/17/2005,2005,1,Kent State,Miami (Ohio),10,27,0,-17,-13,-1,-6,1,-2,9,87,-3,-21,-35,-145,-672,2,1,21
83,146,09/17/2005,2005,1,Clemson,Miami (Florida),30,36,0,-6,-5,1,-3,3,-1,15,136,-12,-102,-30,-105,-206,3,1,29
